message,treatment,argument,profile,line,tweet,filler,test
24,both,pro,4,1,,"xxx xx xxxxx xxx xxx,xxx xxxxxx xxxxxx xxxx xxx. xxx? xxxx xxxx xxxxxx xxxx. xxxxx xx xx xxxxxx xx xxxx xxxxxx xxxx xxxx xxxxxx xx x xxxxx — xxxx xxxx xxx xxxx xx xxx xxx xxxx xxxxxxx. xxx xxxxx xxxxxxxx xxx xxxx xxxxxx xxxxxxxx.,","The U.S. jails over 400,000 people pretrial every day. Why? They can’t afford bail. About 60% of people in jail haven’t been convicted of a crime — they’re just too poor to pay for their freedom. This costs taxpayers $140 billion annually."
24,both,pro,4,2,,"xxxx xxxx xxxxx xxxxxxx xxxxx xxxxxx. xxxxxx xxxx xxx xxxxxx xxxxxx xxxx xxx xxxx xxxxx xxxxx xxx xxxxx xxxxx xxxxxx xxxxxx.,",Cash bail doesn’t improve public safety. States like New Jersey reduced cash bail and saw lower crime rates and fewer people jailed pretrial.
24,both,pro,4,3,,"xx xxx xxxxx xxxx xxxxx xxx, xxxx, xx xxxxx xxxxxx xxxx xxxx xxxx xxxxx xxxx. xxxx xxxx xxx x xxxx xxxxxx xxxxx xx xxxx, xxx xxxxxx. #xxxxxxxxx #xxxxxxxxx","No one should lose their job, home, or family because they can’t afford bail. It's time for a fair system based on risk, not wealth. #EndCashBail #BailReform"
25,both,pro,5,1,,"yyy yy yyyyy yyy yyy,yyy yyyyyy yyyyyy yyyy yyy. yyy? yyyy yyyy yyyyyy yyyy. yyyyy yy yy yyyyyy yy yyyy yyyyyy yyyy yyyy yyyyyy yy y yyyyy — yyyy yyyy yyy yyyy yy yyy yyy yyyy yyyyyyy. yyy yyyyy yyyyyyyy yyy yyyy yyyyyy yyyyyyyy.,","The U.S. jails over 400,000 people pretrial every day. Why? They can’t afford bail. About 60% of people in jail haven’t been convicted of a crime — they’re just too poor to pay for their freedom. This costs taxpayers $140 billion annually."
25,both,pro,5,2,,"yyyy yyyy yyyyy yyyyyyy yyyyy yyyyyy. yyyyyy yyyy yyy yyyyyy yyyyyy yyyy yyy yyyy yyyyy yyyyy yyy yyyyy yyyyy yyyyyy yyyyyy.,",Cash bail doesn’t improve public safety. States like New Jersey reduced cash bail and saw lower crime rates and fewer people jailed pretrial.
25,both,pro,5,3,,"yy yyy yyyyy yyyy yyyyy yyy, yyyy, yy yyyyy yyyyyy yyyy yyyy yyyy yyyyy yyyy. yyyy yyyy yyy y yyyy yyyyyy yyyyy yy yyyy, yyy yyyyyy. #yyyyyyyyy #yyyyyyyyy","No one should lose their job, home, or family because they can’t afford bail. It's time for a fair system based on risk, not wealth. #EndCashBail #BailReform"
26,both,con,1,1,,"zzz zz zzzzz zzz zzz,zzz zzzzzz zzzzzz zzzz zzz. zzz? zzzz zzzz zzzzzz zzzz. zzzzz zz zz zzzzzz zz zzzz zzzzzz zzzz zzzz zzzzzz zz z zzzzz — zzzz zzzz zzz zzzz zz zzz zzz zzzz zzzzzzz. zzz zzzzz zzzzzzzz zzz zzzz zzzzzz zzzzzzzz.,","The U.S. jails over 400,000 people pretrial every day. Why? They can’t afford bail. About 60% of people in jail haven’t been convicted of a crime — they’re just too poor to pay for their freedom. This costs taxpayers $140 billion annually."
26,both,con,1,2,,"zzzz zzzz zzzzz zzzzzzz zzzzz zzzzzz. zzzzzz zzzz zzz zzzzzz zzzzzz zzzz zzz zzzz zzzzz zzzzz zzz zzzzz zzzzz zzzzzz zzzzzz.,",Cash bail doesn’t improve public safety. States like New Jersey reduced cash bail and saw lower crime rates and fewer people jailed pretrial.
26,both,con,1,3,,"zz zzz zzzzz zzzz zzzzz zzz, zzzz, zz zzzzz zzzzzz zzzz zzzz zzzz zzzzz zzzz. zzzz zzzz zzz z zzzz zzzzzz zzzzz zz zzzz, zzz zzzzzz. #zzzzzzzzz #zzzzzzzzz","No one should lose their job, home, or family because they can’t afford bail. It's time for a fair system based on risk, not wealth. #EndCashBail #BailReform"
27,both,con,2,1,,"111 11 11111 111 111,111 111111 111111 1111 111. 111? 1111 1111 111111 1111. 11111 11 11 111111 11 1111 111111 1111 1111 111111 11 1 11111 — 1111 1111 111 1111 11 111 111 1111 1111111. 111 11111 11111111 111 1111 111111 11111111.,","The U.S. jails over 400,000 people pretrial every day. Why? They can’t afford bail. About 60% of people in jail haven’t been convicted of a crime — they’re just too poor to pay for their freedom. This costs taxpayers $140 billion annually."
27,both,con,2,2,,"1111 1111 11111 1111111 11111 111111. 111111 1111 111 111111 111111 1111 111 1111 11111 11111 111 11111 11111 111111 111111.,",Cash bail doesn’t improve public safety. States like New Jersey reduced cash bail and saw lower crime rates and fewer people jailed pretrial.
27,both,con,2,3,,"11 111 11111 1111 11111 111, 1111, 11 11111 111111 1111 1111 1111 11111 1111. 1111 1111 111 1 1111 111111 11111 11 1111, 111 111111. #111111111 #111111111","No one should lose their job, home, or family because they can’t afford bail. It's time for a fair system based on risk, not wealth. #EndCashBail #BailReform"
28,both,con,3,1,,"222 22 22222 222 222,222 222222 222222 2222 222. 222? 2222 2222 222222 2222. 22222 22 22 222222 22 2222 222222 2222 2222 222222 22 2 22222 — 2222 2222 222 2222 22 222 222 2222 2222222. 222 22222 22222222 222 2222 222222 22222222.,","The U.S. jails over 400,000 people pretrial every day. Why? They can’t afford bail. About 60% of people in jail haven’t been convicted of a crime — they’re just too poor to pay for their freedom. This costs taxpayers $140 billion annually."
28,both,con,3,2,,"2222 2222 22222 2222222 22222 222222. 222222 2222 222 222222 222222 2222 222 2222 22222 22222 222 22222 22222 222222 222222.,",Cash bail doesn’t improve public safety. States like New Jersey reduced cash bail and saw lower crime rates and fewer people jailed pretrial.
28,both,con,3,3,,"22 222 22222 2222 22222 222, 2222, 22 22222 222222 2222 2222 2222 22222 2222. 2222 2222 222 2 2222 222222 22222 22 2222, 222 222222. #222222222 #222222222","No one should lose their job, home, or family because they can’t afford bail. It's time for a fair system based on risk, not wealth. #EndCashBail #BailReform"
29,both,con,4,1,,"333 33 33333 333 333,333 333333 333333 3333 333. 333? 3333 3333 333333 3333. 33333 33 33 333333 33 3333 333333 3333 3333 333333 33 3 33333 — 3333 3333 333 3333 33 333 333 3333 3333333. 333 33333 33333333 333 3333 333333 33333333.,","The U.S. jails over 400,000 people pretrial every day. Why? They can’t afford bail. About 60% of people in jail haven’t been convicted of a crime — they’re just too poor to pay for their freedom. This costs taxpayers $140 billion annually."
29,both,con,4,2,,"3333 3333 33333 3333333 33333 333333. 333333 3333 333 333333 333333 3333 333 3333 33333 33333 333 33333 33333 333333 333333.,",Cash bail doesn’t improve public safety. States like New Jersey reduced cash bail and saw lower crime rates and fewer people jailed pretrial.
29,both,con,4,3,,"33 333 33333 3333 33333 333, 3333, 33 33333 333333 3333 3333 3333 33333 3333. 3333 3333 333 3 3333 333333 33333 33 3333, 333 333333. #333333333 #333333333","No one should lose their job, home, or family because they can’t afford bail. It's time for a fair system based on risk, not wealth. #EndCashBail #BailReform"
30,both,con,5,1,,"444 44 44444 444 444,444 444444 444444 4444 444. 444? 4444 4444 444444 4444. 44444 44 44 444444 44 4444 444444 4444 4444 444444 44 4 44444 — 4444 4444 444 4444 44 444 444 4444 4444444. 444 44444 44444444 444 4444 444444 44444444.,","The U.S. jails over 400,000 people pretrial every day. Why? They can’t afford bail. About 60% of people in jail haven’t been convicted of a crime — they’re just too poor to pay for their freedom. This costs taxpayers $140 billion annually."
30,both,con,5,2,,"4444 4444 44444 4444444 44444 444444. 444444 4444 444 444444 444444 4444 444 4444 44444 44444 444 44444 44444 444444 444444.,",Cash bail doesn’t improve public safety. States like New Jersey reduced cash bail and saw lower crime rates and fewer people jailed pretrial.
30,both,con,5,3,,"44 444 44444 4444 44444 444, 4444, 44 44444 444444 4444 4444 4444 44444 4444. 4444 4444 444 4 4444 444444 44444 44 4444, 444 444444. #444444444 #444444444","No one should lose their job, home, or family because they can’t afford bail. It's time for a fair system based on risk, not wealth. #EndCashBail #BailReform"
